Generation;BestFitness;AverageFitnessPopulation;BestNumberOfWheels;BestCarMass;BestRoadCompleted;BestDistance;BestEllapsedTime;BestSumVelocities;BestSumAccelerations;BestSumForces
1;34.6198234558105;7.68992856070399;9;384.6212;False;1376.481;39.75992;440.3415;297.2193;299668.8
2;66.2586822509766;18.6060582816601;8;303.0585;True;2280;40.52708;700.3161;415.408;5458924
3;44.0814323425293;15.5098496615887;8;303.0585;False;1649.23;37.41325;524.7381;83.8052;78205.33
4;44.3839378356934;10.1686910897493;8;303.0585;False;1732.534;39.03516;561.8951;145.8873;123774.7
5;58.4191513061523;15.2252272440121;9;255.12;True;2280;47.08881;718.5211;211.5546;2415750
